Project Name,Place,Longitude,Latitude,Price,Standing,State,Delivery,Advertiser,Advertiser Phone
Les Allées de Californie lance sa 2ème tranche !,Californie à Casablanca,-7.613258058098552,33.52868056914214,À partir de 1 070 000 DH,Haut standing,En cours de construction,Livraison mars 2022,Les Allées de Californie,05 20 01 00 02
Utopia : vivez dans un cadre  idyllique,Californie à Casablanca,-7.607078248528126,33.524709493386695,À partir de 1 857 380 DH,Haut standing,En cours de construction,Livraison janvier 2022,UTOPIA,05 20 01 00 02
Résidences Al Hamd 2,City Dar Es Salaam à Casablanca,-7.6933103799818525,33.5387566373288,À partir de 690 000 DH,Moyen standing,Finalisé,Livraison juin 2022,RSP Groupe,05 20 01 00 00
Next House Casa Anfa / Lancement 2eme Tranche,Casablanca Finance City à Casablanca,-7.605092525482178,33.5585265011327,"À partir de 1 789 000 DH
17 500DH / m²",Haut standing,En cours de construction,Livraison janvier 2022,Al Akaria Next House Casa Anfa,06 67 46 01 68
Califonia Homes,Californie à Casablanca,-7.615626659271328,33.519579105028875,"À partir de 1 200 000 DH
14 500DH / m²",Haut standing,Finalisé,Livraison décembre 2021,California Homes,06 62 03 41 74
"Soft City, travaillez dans le calme de l'Oasis",Oasis à Casablanca,-7.634300513749622,33.55213776417969,"À partir de 1 486 000 DH
22 500DH / m²",Haut standing,En cours de construction,Livraison novembre 2022,Soft City Oasis,06 62 20 45 02
Les Jardins de Ain Sebâa lance sa deuxième tranche,Aïn Sebaâ à Casablanca,-7.541969962385934,33.60439330562992,À partir de 716 000 DH,Moyen standing,En cours de construction,Livraison janvier 2021,Les jardins de Ain sebaa,05 20 01 00 00
Résidence DIAZ,Maârif Extension à Casablanca,-7.641613483429069,33.57987841432208,À partir de 860 000 DH,Haut standing,Finalisé,Livraison décembre 2020,RESIDENCE DIAZ,05 20 01 00 03
Studio 31 : studios haut standing,Les Hôpitaux à Casablanca,-7.6232349872587974,33.56819965695728,À partir de 950 000 DH,Haut standing,En cours de construction,Livraison juillet 2021,Empire Immobilier - Studio 31,05 20 01 00 03
Résidence El Yassamine,Bernoussi à Casablanca,-7.480355685654416,33.61040882133904,À partir de 500 000 DH,Moyen standing,Finalisé,Livraison octobre 2021,Groupe Ikamati - Projet Al Yassamine,05 22 68 54 64
Locaux commerciaux - Ramasakan,Aïn Sebaâ à Casablanca,-7.529722452163924,33.611465264264666,"À partir de 1 357 000 DH
11 500DH / m²",Haut standing,Finalisé,Livraison janvier 2021,MASTER SAKANE,06 61 67 28 27
